sequence.id,OTU_0,OTU_1,OTU_2,OTU_3,OTU_4,OTU_5,OTU_6,OTU_7,OTU_8,OTU_9,OTU_10,OTU_12,OTU_14,OTU_15,OTU_16,OTU_17,OTU_18,OTU_19,OTU_20,OTU_22,OTU_23,OTU_24,OTU_26,OTU_27,OTU_28,OTU_29,OTU_30,OTU_31,OTU_32,OTU_34,OTU_36,OTU_38,OTU_39,OTU_40,OTU_41,OTU_42,OTU_43,OTU_45,OTU_47,OTU_48,OTU_49,OTU_52,OTU_53,OTU_54,OTU_55,OTU_56,OTU_57,OTU_58,OTU_60,OTU_61,OTU_62,OTU_63,OTU_64,OTU_65,OTU_66,OTU_68,OTU_69,OTU_71,OTU_72,OTU_73,OTU_74,OTU_75,OTU_76,OTU_77,OTU_78,OTU_79,OTU_80,OTU_81,OTU_82,OTU_83,OTU_84,OTU_85,OTU_86,OTU_88,OTU_89,OTU_90,OTU_91,OTU_92,OTU_93,OTU_95,OTU_96,OTU_97,OTU_99,OTU_101,OTU_103,OTU_105,OTU_106,OTU_108,OTU_109,OTU_110,OTU_111,OTU_112,OTU_113,OTU_115,OTU_116,OTU_117,OTU_118,OTU_119,OTU_120,OTU_122,OTU_123,OTU_124,OTU_125,OTU_127,OTU_129,OTU_130,OTU_131,OTU_132,OTU_133,OTU_134,OTU_135,OTU_137,OTU_138,OTU_140,OTU_141,OTU_142,OTU_143,OTU_144,OTU_146,OTU_149,OTU_150,OTU_151,OTU_152,OTU_155,OTU_156,OTU_157,OTU_160,OTU_161,OTU_162,OTU_163,OTU_165,OTU_166,OTU_167,OTU_168,OTU_169,OTU_170,OTU_171,OTU_172,OTU_174,OTU_175,OTU_176,OTU_178,OTU_180,OTU_181,OTU_182,OTU_183,OTU_185,OTU_186,OTU_187,OTU_188,OTU_190,OTU_191,OTU_193,OTU_194,OTU_200,OTU_202,OTU_203,OTU_204,OTU_206,OTU_208,OTU_210,OTU_211,OTU_212,OTU_216,OTU_220,OTU_221,OTU_222,OTU_223,OTU_225,OTU_226,OTU_227,OTU_228,OTU_229,OTU_231,OTU_232,OTU_233,OTU_234,OTU_235,OTU_237,OTU_241,OTU_242,OTU_243,OTU_245,OTU_246,OTU_248,OTU_249,OTU_251,OTU_253,OTU_254,OTU_256,OTU_257,OTU_258,OTU_259,OTU_261,OTU_262,OTU_263,OTU_265,OTU_266,OTU_267,OTU_268,OTU_269,OTU_270,OTU_273,OTU_274,OTU_280,OTU_282,OTU_286,OTU_290,OTU_291,OTU_297,OTU_305,OTU_309,OTU_313,OTU_324,OTU_332,OTU_338,OTU_345,OTU_347,OTU_452,OTU_552,OTU_612,OTU_614,OTU_1186,OTU_46,OTU_59,OTU_102,OTU_164,OTU_238,OTU_260,OTU_13,OTU_25,OTU_44,OTU_51,OTU_87,OTU_98,OTU_104,OTU_107,OTU_121,OTU_126,OTU_147,OTU_159,OTU_184,OTU_189,OTU_195,OTU_196,OTU_198,OTU_199,OTU_201,OTU_205,OTU_209,OTU_213,OTU_214,OTU_217,OTU_219,OTU_239,OTU_264,OTU_328
Wood49,18.23,4.7717,4.2129,9.285,0,14.804,14.165,11.323,5.745,4.7717,0,0,0,10.778,0,8.3468,0,0,7.463,0,10.353,4.2129,4.2129,0,0,7.8396,8.8365,3.2886,0,7.0507,0,5.745,0,6.6072,0,0,3.2886,5.4873,5.1734,0,0,9.5777,0,4.2129,0,0,9.0897,7.1431,0,0,6.8459,0,0,0,9.8759,10.785,0,7.1431,9.1355,3.2886,0,0,0,8.0453,5.1734,7.8939,0,0,4.2129,0,0,4.2129,7.3119,0,0,0,0,3.2886,9.9923,0,5.4873,0,3.2886,0,0,5.1734,0,0,0,7.533,0,10.314,0,0,4.7717,4.2129,9.4018,3.2886,0,3.2886,0,0,3.2886,3.2886,0,10.985,3.2886,0,0,0,0,0,4.2129,8.5291,0,0,0,0,0,0,0,0,0,0,0,4.7717,0,0,0,0,0,0,0,0,4.7717,0,0,0,4.2129,0,0,0,0,0,0,9.3051,6.4712,5.1734,0,0,0,0,0,0,0,0,0,0,3.2886,4.2129,5.745,3.2886,0,0,0,0,4.2129,0,0,0,7.533,0,0,0,4.7717,0,0,0,0,0,0,0,4.2129,0,0,0,0,0,0,0,0,0,0,3.2886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.321,4.2129,0,0,0,7.0507,0,3.2886,0,0,0,13.96,0,0,0,3.2886,7.463,11.172,6.9519,4.7717,0,0,0,0,0,4.2129,0,0,5.745,0,0,0,0,0,0,0,0,0,0
Wood32,18.555,5.3984,12.496,0,5.3984,14.503,11.991,12.041,2.7829,5.3984,0,12.797,0,10.585,0,11.744,0,13.367,11.899,0,7.3203,0,5.9026,6.038,0,8.1162,7.2662,8.3681,3.6741,8.7692,0,0,4.6164,0,0,0,6.6582,8.1162,6.3812,0,0,9.1288,0,0,2.7829,8.8075,6.7399,6.6582,0,0,5.1817,0,6.1617,0,5.7533,0,0,5.3984,0,0,2.7829,5.5867,0,0,6.5716,0,0,2.7829,0,0,0,4.2209,6.7399,7.0906,0,0,0,0,2.7829,0,0,0,2.7829,0,0,0,0,2.7829,2.7829,2.7829,4.6164,6.6582,0,5.3984,6.038,3.6741,0,0,0,0,0,0,4.2209,0,0,0,2.7829,0,0,0,0,0,5.1817,4.9266,5.1817,0,0,8.5602,0,0,0,0,0,0,0,6.4795,0,0,0,2.7829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2209,0,4.2209,0,0,0,0,0,0,0,0,4.2209,0,0,6.2756,0,0,3.6741,5.7533,0,0,0,0,0,5.1817,7.4714,0,8.7496,0,0,3.6741,0,0,0,0,0,2.7829,4.2209,0,0,0,0,0,0,0,0,5.3984,0,0,0,0,0,0,0,0,0,0,0,6.3812,5.5867,0,5.1817,0,2.7829,2.7829,0,0,0,0,0,0,0,0,0,0,3.6741,4.2209,0,10.034,0,0,0,0,0,10.54,0,5.3984,6.8905,0,5.5867,4.9266,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6164,0,0,0,0,0
Wood41,16.8,0,4.8961,0,0,8.8273,15.508,13.27,13.009,16.45,0,3.0346,0,5.8717,0,10.687,0,12.464,11.592,0,8.0223,3.0346,0,4.8961,0,9.2921,10.463,4.4971,0,7.7117,0,8.9994,0,9.3248,3.0346,11.174,4.8961,12.409,5.2083,0,0,4.4971,0,3.0346,0,4.8961,0,3.9438,0,0,6.5626,3.9438,6.3244,5.2083,8.5511,12.252,0,9.4188,6.5626,0,5.2083,6.1887,0,10.371,3.0346,4.4971,0,4.8961,7.7117,0,0,0,8.6832,0,0,0,0,4.8961,3.0346,0,3.9438,0,8.3748,0,6.4484,4.4971,0,4.8961,0,8.85,8.4947,0,4.8961,0,0,0,0,4.4971,12.453,0,0,4.4971,0,8.436,0,0,6.9461,0,4.8961,0,0,0,0,5.6826,0,0,0,0,0,0,0,0,0,0,0,4.8961,0,5.4648,0,0,0,0,0,0,3.0346,0,0,0,0,0,0,0,0,0,0,0,0,3.0346,6.6685,0,0,0,0,0,3.0346,0,0,0,0,0,0,0,0,0,3.9438,0,0,0,0,0,3.9438,6.767,0,3.0346,0,0,0,3.0346,0,3.0346,0,0,0,0,0,3.0346,0,0,3.0346,0,0,0,0,0,0,0,0,0,0,0,0,5.2083,5.4648,3.9438,3.9438,0,0,0,0,0,0,3.0346,10.143,0,4.4971,8.7809,0,0,0,5.6826,3.0346,7.1053,7.555,10.562,0,4.8961,0,5.4648,0,0,14.624,3.0346,0,5.2083,6.8593,0,10.283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wood35,19.758,5.9887,5.0112,7.2969,0,5.5812,8.9687,6.9773,6.5661,0,0,8.6133,0,0,0,11.837,5.0112,5.9887,4.0553,0,0,0,7.6733,5.5812,0,0,8.7241,5.5812,0,0,0,6.3061,0,0,4.0553,0,6.3061,0,0,0,0,4.0553,0,7.7797,0,0,10.443,5.0112,5.0112,0,10.271,0,0,0,6.3061,0,0,5.9887,0,0,0,0,0,5.9887,5.9887,0,0,0,0,0,0,4.0553,0,0,0,0,0,0,5.5812,0,7.1459,0,9.6115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0112,0,4.0553,0,0,0,0,0,0,5.0112,0,0,0,0,0,0,0,0,5.0112,0,0,0,0,0,0,4.0553,0,0,0,0,0,0,6.7863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7797,0,0,0,0,0,0,0,4.0553,0,0,6.3061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4273,0,0,4.0553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0112,0,5.9887,0,0,0,0,0,0,0,0,0,9.5824,0,0,0,0,0,0,0,0,4.0553,0,6.5661,0,0,8.6133,0,0,0,4.0553,0,0,0,10.537,0,5.0112,0,0,0,0,0,0,0,0,0,0
Wood9,19.561,0,7.0937,4.1658,6.422,0,11.527,9.4428,12.731,12.192,0,5.6962,0,0,0,11.254,0,0,4.1658,0,6.9026,0,7.7901,9.2554,4.1658,8.1756,8.5464,6.6822,0,0,0,4.1658,0,0,0,0,4.1658,6.6822,0,0,0,0,0,0,0,0,5.1251,5.1251,0,0,7.6752,0,0,0,8.0885,0,0,6.422,0,0,0,4.1658,0,4.1658,0,0,0,6.1043,0,0,0,0,6.1043,0,10.294,0,0,0,0,0,0,0,0,5.6962,0,5.1251,0,0,0,6.422,0,0,0,0,0,0,0,0,0,0,0,0,4.1658,5.6962,0,0,6.1043,0,0,0,0,0,8.3355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1658,0,9.9914,0,0,0,0,0,0,0,0,6.422,0,0,0,0,5.1251,0,6.1043,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1658,0,0,0,0,0,0,4.1658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1658,0,7.4136,0,0,0,0,0,0,0,0,0,0,0,9.4072,0,0,0,0,0,0,4.1658,14.209,4.1658,0,4.1658,0,0,5.6962,0,5.6962,0,0,0,0,0,0,0,0,0,0,0,0,5.6962,0,0,0,0,0
Wood18,16.071,0,17.93,0,0,6.134,8.5619,6.134,10.221,6.4198,0,11.623,14.093,3.1197,0,3.1197,0,6.8628,0,0,8.8292,0,6.4198,0,8.2336,14.098,9.0547,6.6582,0,3.1197,0,0,0,0,0,0,5.3024,0,8.1963,0,0,6.134,0,0,0,0,10.371,6.284,6.9551,0,0,0,4.0343,0,7.3446,0,3.1197,0,0,0,0,6.8628,0,4.5896,0,6.284,0,0,0,3.1197,0,10.053,6.7641,5.7773,5.5593,0,0,0,9.2677,0,9.0547,0,0,0,0,0,0,0,0,0,6.134,4.9896,0,0,0,0,0,0,0,0,0,4.0343,8.6749,0,0,0,0,0,0,0,0,0,0,3.1197,0,0,6.9551,3.1197,0,0,0,0,7.3446,0,0,8.374,0,0,0,0,0,0,0,0,0,8.374,0,0,0,0,0,0,4.0343,0,0,4.0343,0,0,0,0,0,0,0,0,0,0,0,0,7.9037,0,0,0,0,0,0,0,5.3024,5.7773,8.374,0,6.7641,0,0,0,0,0,0,5.3024,0,0,0,0,0,3.1197,0,0,0,0,0,0,0,0,0,0,4.0343,0,0,0,0,0,0,0,0,0,0,0,3.1197,8.27,0,0,4.0343,0,0,0,4.9896,0,0,0,3.1197,0,0,0,0,0,0,0,0,0,0,4.5896,0,3.1197,0,4.0343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wood47,16.813,3.1496,14.858,5.8104,0,14.329,8.4407,6.4531,3.1496,0,0,0,0,0,3.1496,9.6793,0,0,6.7975,0,10.494,0,9.109,6.3172,0,9.3192,10.055,5.0222,0,4.6219,0,0,0,9.9211,0,0,12.127,0,9.0673,0,0,3.1496,0,10.823,0,0,11.044,3.1496,5.3352,0,9.7203,0,4.0659,0,7.3082,0,0,4.6219,6.3172,7.0753,0,6.1672,0,6.6916,7.0753,7.2346,0,0,0,0,0,8.1915,5.8104,5.5923,0,0,0,0,3.1496,0,7.7388,0,0,0,0,0,4.0659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0753,5.0222,0,0,5.0222,0,0,0,0,0,0,5.8104,0,6.1672,0,0,0,0,3.1496,0,4.6219,6.3172,0,0,7.9372,0,0,0,0,0,0,0,0,3.1496,0,7.9828,3.1496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6219,0,0,0,5.8104,0,0,0,4.6219,0,0,0,0,0,0,0,0,0,0,5.5923,0,0,0,5.5923,0,0,0,0,0,0,0,0,0,0,0,0,0,7.791,0,0,0,0,4.0659,0,0,0,0,0,0,0,3.1496,0,0,3.1496,0,0,0,0,0,0,0,0,0,0,0,3.1496,4.0659,0,4.6219,0,0,0,0,4.6219,0,3.1496,0,5.8104,0,5.9998,0,0,0,8.1116,0,0,5.3352,0,0,0,0,0,0,0,0,0,0,4.6219,0,0,11.547,0,5.8104
Wood29,16.475,19.838,3.053,9.2907,4.3551,13.344,11.721,8.8251,9.8274,0,4.5171,10.891,16.467,4.7951,3.4239,7.3577,15.426,2.5524,0,0,12.167,0,3.4239,2.5524,3.053,10.972,15.097,0,14.384,5.3194,5.4047,11.249,1.7795,0,7.1007,0,9.6553,0,7.7489,0,0,9.6421,0,7.0749,0,0,10.927,9.0471,6.9096,1.7795,5.8319,6.5462,12.118,7.1007,9.2681,0,0,7.5385,3.053,11.561,2.5524,7.665,5.9502,7.0486,1.7795,6.5833,0,4.9163,8.3956,0,0,3.053,2.5524,1.7795,0,0,0,0,6.6195,0,6.345,0,10.295,0,1.7795,9.6812,3.4239,0,0,0,1.7795,3.053,6.3012,0,0,0,2.5524,7.9326,0,10.699,0,8.4865,0,5.7689,7.0486,0,6.9668,0,8.2986,0,0,1.7795,5.7031,6.3012,3.4239,8.951,0,5.3194,0,7.5385,0,9.9637,7.8888,0,0,2.5524,7.2465,0,1.7795,0,0,0,4.6628,0,7.5195,0,3.7187,0,0,1.7795,0,0,0,1.7795,0,0,0,3.4239,5.4853,0,9.5039,3.9633,0,0,7.2465,5.9502,9.6939,0,0,4.7951,0,0,1.7795,0,3.7187,0,0,4.9163,0,0,1.7795,2.5524,0,3.7187,0,0,3.7187,6.8499,0,0,0,0,0,3.053,5.7689,5.9502,0,0,0,0,5.4853,0,0,4.5171,0,0,0,8.3425,0,0,0,0,3.053,0,4.5171,0,0,8.0027,1.7795,0,1.7795,0,3.053,0,7.0219,0,0,3.7187,0,4.3551,9.9916,0,11.723,11.251,0,8.7699,0,3.4239,0,0,2.5524,0,0,5.3194,4.3551,0,0,7.9469,0,0,0,0,0,3.053,0,0,0,0,0,1.7795,0,1.7795,0,0,0,0,1.7795
Wood24,18.932,0,2.9303,0,4.3832,14.949,11.142,9.8988,8.5891,0,0,0,0,0,5.5655,14.993,0,9.4299,10.549,3.8324,10.042,0,10.516,9.4019,0,9.2056,8.6617,4.7808,0,0,4.3832,0,0,8.3465,0,0,8.9591,0,6.5502,0,2.9303,5.7544,0,0,0,5.5655,6.8276,6.0709,0,0,0,0,0,0,10.095,0,0,7.5929,0,0,0,6.3304,0,5.9213,7.13,4.3832,0,3.8324,4.7808,0,0,6.0709,7.0602,0,4.3832,0,0,0,5.9213,0,0,0,3.8324,0,0,0,0,0,2.9303,0,5.3482,2.9303,0,0,2.9303,5.5655,6.9867,0,0,0,0,0,0,0,8.3169,0,5.7544,0,0,0,0,4.7808,0,5.5655,0,0,0,8.7081,0,3.8324,0,0,0,0,0,6.7409,0,0,0,8.5891,0,0,0,0,0,0,0,0,0,0,4.7808,0,0,0,3.8324,4.3832,0,4.7808,0,0,0,0,0,0,0,0,0,0,4.7808,0,5.9213,8.2557,0,0,8.2557,4.3832,0,0,0,0,0,0,0,0,0,0,0,4.3832,0,0,0,0,0,4.3832,4.3832,0,0,0,0,0,0,0,0,0,0,0,2.9303,0,0,0,0,0,0,2.9303,3.8324,0,7.4362,0,0,0,0,5.7544,0,0,0,0,0,0,0,2.9303,0,0,4.3832,6.0709,0,0,0,0,0,2.9303,0,0,0,8.3756,5.7544,0,5.0922,0,2.9303,0,0,7.3799,0,0,0,0,0,0,0,0,0,4.3832,0,0,0,0,2.9303
Wood42,13.939,0,3.9933,6.9117,0,11.455,14.702,14.898,12.935,4.9472,2.2422,8.1715,0,14.223,0,12.715,0,14.959,13.565,6.5007,11.81,0,4.297,7.5513,3.9933,11.81,11.204,12.478,3.6081,11.54,2.2422,6.6688,0,11.47,0,0,5.6296,0,9.8022,2.2422,0,11.808,0,0,0,10.765,4.5477,10.302,0,0,8.7233,0,5.9237,3.6081,3.6081,9.1118,0,2.2422,0,0,0,7.928,2.2422,8.5036,4.7613,3.6081,0,4.5477,0,0,0,5.112,8.6176,0,4.5477,0,0,0,6.8194,0,3.0811,0,3.0811,0,7.3012,6.5007,2.2422,0,5.3939,7.7889,4.7613,9.4175,4.7613,4.7613,7.928,0,4.7613,4.5477,0,0,0,7.04,7.5513,7.8831,7.7643,0,0,3.9933,6.0909,0,0,4.297,0,4.5477,7.9499,2.2422,0,3.6081,0,3.0811,0,0,0,0,0,6.9117,2.2422,3.0811,0,3.0811,0,0,0,10.515,4.7613,9.224,3.6081,5.112,0,0,3.6081,0,0,0,6.2408,0,0,0,4.9472,0,0,3.0811,3.9933,0,7.2666,0,0,0,3.0811,5.8321,0,3.0811,0,10.42,6.8194,2.2422,6.1678,0,0,0,4.297,5.6296,0,2.2422,0,0,0,4.297,0,0,5.112,0,2.2422,2.2422,0,0,0,0,3.0811,0,0,4.9472,8.1527,6.6149,0,4.7613,3.0811,0,0,0,0,2.2422,2.2422,0,5.2598,0,8.8686,4.297,5.8321,0,3.0811,0,0,0,6.7709,3.0811,0,0,13.757,3.0811,0,7.5797,8.0948,10.875,0,5.9237,3.0811,0,0,0,3.0811,0,0,0,9.8379,0,8.2084,2.2422,3.9933,0,7.1196,6.8194,0,0,0,0,0,0,0,0,6.1678,4.5477,0,0,0,0,0
