otu_id,Wood49,Wood32,Wood41,Wood35,Wood9,Wood18,Wood47,Wood29,Wood24,Wood42,Wood30,Wood17,Wood12,Wood51,Wood26,Wood43,Wood37,Wood44,Wood10,Wood28,Wood19,Wood34,Wood52,Wood3,Wood36,Wood22,Wood40,Wood21,Wood31,Wood45,Wood39,Wood27,Wood16,Wood33,Wood11,Wood48,Wood50,Wood38,Wood13,Wood46,Wood20,Wood1,Wood15,taxonomy,Taxon,Taxon Level,Trophic Mode,Guild,Growth Morphology,Trait,Confidence Ranking,Notes,Citation/Source,,,,,,,
OTU_X0,35061,65470,15861,56745,45620,8951,14622,37434,75524,4209,24962,213,7654,43,642,1281,102,8,226,106,91,10,35,52,11,13,13,29,15,5,2,12,5,22,6,6,3,3,1,3,1,1,0,100%|Megacollybia_rodmanii|EU623765|SH127394.07FU|refs|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Marasmiaceae;g__Megacollybia;s__Megacollybia_rodmanii,Megacollybia,13,Saprotroph,Undefined Saprotroph,Agaricoid,NULL,Probable,NULL,b'Tedersoo L, et al. 2014. Science 346:1256688',,,,,,
OTU_X1,3,7,0,4,0,0,1,385224,0,0,89,0,0,0,0,0,15,4,0,209,0,7,0,0,4,0,2,15,6,14,0,0,1,5,0,0,0,0,14,0,20,0,0,100%|Crepidotus_cesatii|JF907960|SH219447.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Crepidotus;s__Crepidotus_cesatii,Crepidotus,13,Saprotroph,Wood Saprotroph,Agaricoid,NULL,Highly Probable,NULL,b'Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127; Aime MC, et al. 2005. American Journal of Botany 92:74-82; Tedersoo L, et al. 2014. Science 346:1256688',,,,
OTU_X10,0,0,0,0,0,0,0,9,0,1,0,20,38,0,0,0,4,0,0,0,3,0,0,0,3,0,0,8,0,2,0,0,0,0,0,0,0,0,71273,0,0,0,0,100%|Phanerochaete_stereoides|KF291012|SH191861.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Phanerochaetaceae;g__Phanerochaete;s__Phanerochaete_stereoides,Phanerochaete,13,Saprotroph,Wood Saprotroph,Resupinate,White Rot,Highly Probable,NULL,b'Glenn JK, et al. 1983. Biochemical and Biophysical Research Communications 114:1077-1083',,,,,,
OTU_X101,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1836,0,0,0,0,0,0,0,0,0,100%|Mycena_sanguinolenta|FJ596764|SH220727.07FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Mycenaceae;g__Mycena;s__Mycena_sanguinolenta,Mycena,13,Pathotroph-Saprotroph,Wood Saprotroph,Agaricoid,NULL,Probable,NULL,b'Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127; Tedersoo L, et al. 2014. Science 346:1256688; http://www.apsnet.org/publications/commonnames/Pages/default.aspx',,,,,
OTU_X102,1,178,4,0,0,0,0,179,0,16,0,0,0,6,0,0,20,0,0,0,25,0,0,0,0,0,0,0,165,0,0,4,189,0,0,301,17,43,0,0,3,0,0,100%|Helicosporium_gracile|AY916485|unidentified|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Tubeufiales;f__Tubeufiaceae;g__Helicosporium;s__Helicosporium_gracile,Helicosporium,13,Saprotroph,Undefined Saprotroph,NULL,NULL,Probable,NULL,b'Tedersoo L, et al. 2014. Science 346:1256688',,,,,,
OTU_X103,0,0,12,0,0,0,0,1,0,42,113,3,6,6,0,0,119,34,216,0,0,17,1,0,0,0,3,14,4,0,0,34,46,16,0,18,7,6,0,40,4,0,36,100%|Meliniomyces_sp|GQ996160|SH201706.07FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Incertae_sedis;f__Incertae_sedis;g__Meliniomyces;s__Meliniomyces_sp,Meliniomyces,13,Saprotroph-Symbiotroph,Mycorrhizal,Dark Septate Endophyte,NULL,Probable,NULL,b'Tedersoo L, et al. 2014. Science 346:1256688',,,,,,
OTU_X104,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,100%|Baeospora_sp._ICMP_16979|EU770252|unidentified|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Baeospora;s__Baeospora_sp._ICMP_16979,Baeospora,13,Saprotroph,Undefined Saprotroph,NULL,NULL,Probable,NULL,b'Tedersoo L, et al. 2014. Science 346:1256688',,,,,,
OTU_X105,4,0,3,0,2,0,0,337,0,24,0,6,0,0,0,0,0,0,126,43,0,3,3,0,0,0,0,0,95,2,0,5,28,3,19,135,5,9,0,1,2,0,0,100%|Phaeoacremonium_mortoniae|EU427312|SH214930.07FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Togniniaceae;g__Phaeoacremonium;s__Phaeoacremonium_mortoniae,Phaeoacremonium,13,Pathotroph,Plant Pathogen,NULL,NULL,Probable,NULL,b'Tedersoo L, et al. 2014. Science 346:1256688',,,,,,
OTU_X106,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,0,123,59,65,0,0,9,0,0,23,0,134,0,0,9,15,0,0,26,475,0,0,0,15,0,40,1,38,100%|Oidiodendron_tenuissimum|AF062807|SH216999.07FU|refs|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Incertae_sedis;f__Myxotrichaceae;g__Oidiodendron;s__Oidiodendron_tenuissimum,Oidiodendron,13,Pathotroph-Symbiotroph,Mycorrhizal,Dark Septate Endophyte,NULL,Probable,NULL,b'Newsham 2011. New Phytologist 190:783-793 (as DSE)',,,,,,,
OTU_X107,14,8,173,25,3,0,0,0,5,79,19,40,0,54,0,9,14,0,0,31,782,49,34,58,0,0,0,1,4,0,0,40,3,35,0,50,90,85,0,0,0,0,21,100%|uncultured_Mycena|JX860470|unidentified|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__unidentified;s__uncultured_Mycena,Mycena,13,Pathotroph-Saprotroph,Wood Saprotroph,Agaricoid,NULL,Probable,NULL,b'Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127; Tedersoo L, et al. 2014. Science 346:1256688; http://www.apsnet.org/publications/commonnames/Pages/default.aspx',,,,,
