plot,block.no,sequence.id,abiotic,wood.perc.n,wood.perc.c,wood.c.to.n,wood.perc.moist,w,n,perc.denloss,soil.moisture,soil.sir,wood.sir,soil.moist,wood.sir,wood.sir.perwet,wood.sir.perdry,wood.sir.scale.sqrt,soil.n,soil.c,soil.cn,wn,soil.temp,soil.ph,richness,evenness,frequency.rank,prop.p2,e.prop.p2
2,1,NA,w,0.4,46.9,117.25,0.5098591549,1,0,0.4653299866,8.5555555556,0.1796724603,1.848075322,46.36,1.848075322,0.8971239427,142.4306965396,0.5569434669,1.4,32.4,23.05,0,19.95,3.99,NA,NA,NA,NA,NA
13,2,NA,w,0.7,48.5,69.2857142857,0.6176536064,1,0,0.5033113235,8.3333333333,0.1588562852,2.5146556813,35.82,2.5146556813,0.967175262,199.5337717389,0.6655213198,1.4,34.25,24.75,0,23.75,3.93,NA,NA,NA,NA,NA
6,3,NA,n,0.2,46.1,230.5,0.2729697921,0,1,0.2821668228,9.4444444444,0.5884328612,0.6553458589,47.7375,0.6553458589,0.4748883035,67.0373924095,0.3673403141,1.85,42.1,23.1,0,15.6,4.1,NA,NA,NA,NA,NA
21,4,Wood25,n,0.3,51.1,170.3333333333,0.2896174863,0,1,0.3981062883,12,0.3239877536,0.7957771143,59.23,0.7957771143,0.5604064185,45.6371652306,0.2918824912,1.85,42.65,23.3,0,14.8,4.16,NA,NA,NA,NA,NA
21,6,NA,n,0.3,45.1,150.3333333333,0.1827656803,0,1,0.3534341964,7.3333333333,1.3352421965,0.1462325004,33.72,0.1462325004,0.1208533061,14.6550475118,0.1148013637,1.85,42.65,23.3,0,15.15,4.16,NA,NA,NA,NA,NA
23,7,Wood44,n,0.3,52.5,175,0.435968705,0,1,0.489348692,7.7777777778,1.1459212727,1.1634743045,62.06,1.1634743045,0.6648424597,84.0638211849,0.4177508797,1.8,46.95,25.65,0,15.85,3.61,61,0.9723706048,119.3278688525,1,0.8947368421
11,8,NA,n,0.3,45.1,150.3333333333,0.3110420854,0,1,0.2774613912,13,1.3984074461,0.7490424584,62.82,0.7490424584,0.5061097692,94.3458570319,0.44543884,1.8,41.75,23.25,0,15.35,3.85,NA,NA,NA,NA,NA
11,9,NA,n,0.3,47.8,159.3333333333,0.3813429638,0,1,0.2403066614,12.7777777778,0.8704152709,1.5134105936,64.38,1.5134105936,0.945881621,180.5526425504,0.631504675,1.8,41.75,23.25,0,15.25,3.85,NA,NA,NA,NA,NA
12,10,NA,c,0.7,47.2,67.4285714286,0.4922381311,0,0,0.4420602233,18.5555555556,0.2440727611,3.2755122234,61.75,3.2755122234,1.6711797058,245.7182439442,0.741802942,1.75,39.5,22.15,0,14.65,3.84,NA,NA,NA,NA,NA
17,11,NA,wn,0.6,45.7,76.1666666667,0.3842748893,1,1,0.4647524265,13.6666666667,0.1963944353,2.5120238955,48.6,2.5120238955,1.5411189543,233.3530717456,0.7221700071,1.65,37.15,22.3,1,20.2,4.19,NA,NA,NA,NA,NA
11,12,Wood26,n,0.3,46.8,156,0.2956014615,0,1,0.1973813394,8.5555555556,1.3333382905,1.1974001027,57.15,1.1974001027,0.814557893,134.6394258248,0.5404402776,1.8,41.75,23.25,0,15.45,3.85,48,0.9836543417,146.0833333333,0.8387096774,1
24,13,NA,c,0.2,46.1,230.5,0.3886106188,0,0,0.3314406592,8.2222222222,0.7722103656,1.1980138393,52.7,1.1980138393,0.7216950839,108.3078162185,0.4804887922,1.85,44,24.1,0,15.3,3.67,NA,NA,NA,NA,NA
24,14,NA,c,0.2,51.6,258,0.25125,0,0,0.3908509469,8.6666666667,1.118568355,0.7479603449,52.56,0.7479603449,0.5499708418,53.0241429852,0.3199468176,1.85,44,24.1,0,15.2,3.67,NA,NA,NA,NA,NA
